FleetCode,GearGrpCode,ReDate,Lat,Lon
EU.ESP,TROL,2017-09-23,43.53166667,-1.941666667
EU.ESP,TROL,2017-09-23,43.52333333,-1.943333333
EU.ESP,SPOR,2010-09-04,42.08722222,3.886666667
EU.ESP,TROL,2011-07-16,43.85,-1.936666667
EU.ESP,SPOR,2010-07-03,40.48333333,3.116666667
EU.ESP,TROL,2011-07-16,43.78333333,-2.001666667
EU.ESP,SPOR,2010-09-04,42.09083333,3.875555556
EU.ESP,TROL,2011-07-16,43.76666667,-2.018333333
EU.ESP,SPOR,2010-09-05,42.23333333,4.05
EU.ESP,TROL,2011-07-16,43.76666667,-2.018333333
EU.ESP,TROL,2007-08-18,43.73333333,-2.033333333
EU.ESP,RRFB,2016-05-28,41.13,1.95
EU.ESP,TROL,2007-08-18,43.6,-2.016666667
EU.ESP,RRFB,2017-05-21,41.6506,2.909983
EU.ESP,TROL,2011-09-03,43.44916667,-2.005
EU.ESP,TROL,2012-07-01,43.53,-1.963333333
EU.ESP,TROL,2012-06-24,43.55766667,-1.9
EU.ESP,TROL,2012-06-23,43.50833333,-1.866666667
EU.ESP,TROL,2012-06-24,43.55333333,-1.923333333
EU.ESP,TROL,2012-07-01,43.57833333,-1.833333333
EU.ESP,TROL,2012-07-05,43.54333333,-1.933333333
EU.ESP,TROL,2010-09-02,43.502,-1.763
EU.ESP,TROL,2015-08-08,43.59666667,-2.205
EU.ESP,TROL,2010-09-18,43.565,-1.926
EU.ESP,TROL,2015-08-19,43.67,-2.246666667
EU.ESP,TROL,2011-07-05,43.59,-1.846
EU.ESP,TROL,2015-08-19,43.68833333,-2.095
EU.ESP,TROL,2011-07-05,43.649,-1.933
EU.ESP,TROL,2015-08-19,43.615,-1.856666667
EU.ESP,TROL,2011-07-05,43.6367,-1.91
EU.ESP,TROL,2015-08-19,43.615,-1.856666667
EU.ESP,TROL,2011-07-05,43.6367,-1.91
EU.ESP,TROL,2015-08-21,43.58666667,-1.748333333
EU.ESP,TROL,2016-09-24,43.53333333,-1.906833333
EU.ESP,TROL,2017-07-11,43.595,-2.129
EU.ESP,TROL,2011-07-07,43.588,-1.85
EU.ESP,TROL,2015-08-21,43.57833333,-1.743333333
UNCL.FLEETS,UNCL,,,
EU.ESP,BB,2007-08-18,43.605,-2.54
EU.ESP,TROL,2007-08-18,43.73333333,-2.05
EU.ESP,TROL,2007-10-06,43.68333333,-2.066666667
EU.ESP,TROL,2007-08-18,43.68333333,-2.066666667
EU.ESP,TROL,2007-08-18,43.68333333,-2.066666667
EU.ESP,TROL,2007-08-18,43.68333333,-2.066666667
EU.ESP,TROL,2007-08-18,43.66666667,-2.033333333
EU.ESP,TROL,2007-08-18,43.66666667,-2.033333333
EU.ESP,TROL,2007-08-18,43.66666667,-2.033333333
EU.ESP,TROL,2007-08-18,43.65,-2.033333333
EU.ESP,TROL,2007-08-18,43.65,-2.033333333
EU.ESP,TROL,2007-08-11,43.55,-2.033333333
EU.ESP,TROL,2007-08-11,43.55,-2.033333333
EU.ESP,TROL,2007-08-11,43.55,-2.083333333
EU.ESP,TROL,2007-08-11,43.55,-2.083333333
EU.ESP,TROL,2007-08-11,43.55,-2.083333333
EU.ESP,TROL,2007-08-11,43.55,-2.066666667
EU.ESP,TROL,2013-10-15,43.53333333,-1.916666667
EU.ESP,TROL,2011-07-07,43.646,-1.8733
EU.ESP,TROL,2015-08-21,43.53666667,-1.763333333
EU.ESP,TROL,2016-08-15,43.63333333,-1.8
EU.ESP,TROL,2016-08-15,43.63333333,-1.8
EU.ESP,TROL,2016-08-15,43.63333333,-1.8
EU.ESP,TROL,2016-08-15,43.63333333,-1.8
EU.ESP,TROL,2016-08-15,43.63333333,-1.8
EU.ESP,TROL,2016-08-15,43.63333333,-1.8
EU.ESP,TROL,2016-08-15,43.63333333,-1.8
EU.ESP,TROL,2016-08-15,43.63333333,-1.8
EU.ESP,TROL,2016-08-15,43.63333333,-1.8
EU.ESP,TROL,2016-08-15,43.63333333,-1.8
EU.ESP,TROL,2013-10-15,43.53333333,-1.916666667
EU.ESP,TROL,2013-10-15,43.53333333,-1.916666667
